Header Reference (BOM Reference),Stock Code,Description,Notes,Sequence Number,Quantity,Instruction,Unit of MEachsure,Scrap Percentage,Fixed Quantity,Use Only in BOM Module
ASSY-0000-00-SFG_Frame,PP-FIX-M12-0003,M12x160 Resin Anchor Studs - A2,,190,4,,Each,0,FALSE,FALSE
ASSY-0000-00-SFG_Frame,PP-FIX-M12-0004,M12 Hex Nut - A2,,200,4,,Each,0,FALSE,FALSE
ASSY-0000-00-SFG_Frame,FG-0104-FP,Earthing Tab - 50x50 - 10mm,,210,2,,Each,0,FALSE,FALSE
ASSY-0000-00-SFG_Frame,PP-FIX-M18-0001,M18x30 Hex Head Bolt - A2,,220,2,,Each,0,FALSE,FALSE
ASSY-0000-00-SFG_Frame,RAW-SHS-0001,SHS - 50x50x3mm - S235,,230,8.548,,Metres,0,FALSE,FALSE
ASSY-0000-00-SFG_Frame,RAW-FB-0007,FB - 200x10mm - SS304,,240,5.42,,Metres,0,FALSE,FALSE
ASSY-0000-00-SFG_Frame,RAW-FB-0004,FB - 80x8mm - S275,,250,5.42,,Metres,0,FALSE,FALSE
ASSY-0000-00-SFG_Frame,FG-0109-FP,Threshold Support Plate - 10 mm,,260,6,,Each,0,FALSE,FALSE
ASSY-0000-00-SFG_Frame,PP-FIX-M16-0011,M16x70 Hex Socket Cap Head Bolt - BZP,,270,44,,Each,0,FALSE,FALSE
ASSY-0000-00-SFG_Leaf,FG-0052-FP,Single Gate Leaf Cover Flap - 5mm,,10,1,,Each,0,FALSE,FALSE
ASSY-0000-00-SFG_Leaf,FG-0015-FP,100mm Gate Hinge Backing Plate - 15mm,,20,2,,Each,0,FALSE,FALSE
ASSY-0000-00-SFG_Leaf,FG-0102-FP,M20 Lifting Eye Plate - 80x80 - 15mm,,30,2,,Each,0,FALSE,FALSE
ASSY-0000-00-SFG_Leaf,FG-0047-FP,Single Gate Pivot Bracket Backing Plate - 10mm,,40,1,,Each,0,FALSE,FALSE
ASSY-0000-00-SFG_Leaf,RAW-HINGE-0001,Piano Hinge - 4.7 OD x 51 x 2mm - SS304,,50,0.23,,Metres,0,FALSE,FALSE
ASSY-0000-00-SFG_Leaf,FG-0053-FP,Single Gate Cover Locking Tab - 5mm,,60,1,,Each,0,FALSE,FALSE
ASSY-0000-00-SFG_Leaf,PP-FIX-M6-0030,M6x16 Torx Button Head Bolt - A2,,70,4,,Each,0,FALSE,FALSE
ASSY-0000-00-SFG_Leaf,RAW-RSC-0002,RSC - 76x38x6.7mm - S275,,80,11.449,,Metres,0,FALSE,FALSE
ASSY-0000-00-SFG_Leaf,RAW-SB-0003,8mm SQ Bar,,90,5.242,,Metres,0,FALSE,FALSE
ASSY-0000-00-SFG_Leaf,FG-0112-FP,Seal Channel Capping Plate - 76x38 - 5mm,,100,2,,Each,0,FALSE,FALSE
ASSY-0000-00-SFG_Leaf,RAW-SEAL-0001,62x27 Closed Cell EPDM with 2mm Neoprene Skin,,110,6.5,,Metres,0,FALSE,FALSE
ASSY-0000-00-SFG_Leaf,PP-FG-0012,Pull Handle - 19 OD x 300mm,,120,2,,Each,0,FALSE,FALSE
ASSY-0000-00-SFG_Leaf,PP-FG-0013,M8 Eyelet,,130,1,,Each,0,FALSE,FALSE
ASSY-0000-00-SFG_Leaf,PP-FIX-M8-0015,M8 Hex Nut - A2,,140,1,,Each,0,FALSE,FALSE
ASSY-0000-00-SFG_Leaf,RAW-SEAL-0002,62x47 Closed Cell EPDM with 2mm Neoprene Skin,,150,5.55,,Metres,0,FALSE,FALSE
ASSY-0000-00-SFG_Leaf,RAW-SHS-0005,SHS - 100x100x5mm - S355,,160,46.6536,,Metres,0,FALSE,FALSE
ASSY-0000-00-SFG_Leaf,RAW-RHS-0003,SHS - 100x50x5mm - S355,,170,2.88,,Metres,0,FALSE,FALSE
SA-FG-0001,SA-FG-0002,100mm Single Flood Gate Hinge to Jamb,,10,1,,Each,0,FALSE,FALSE
